Samples,YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,TAXI_OUT,WHEELS_OFF,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,WHEELS_ON,TAXI_IN,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY
746459,2015,2,19,4,B6,841,N589JB,JFK,SAV,750,752,2,41,833,139,152,105,718,1018,6,1009,1024,15,0,0,,13,0,2,0,0
1371014,2015,3,30,1,DL,1592,N811DZ,SAN,ATL,615,617,2,22,639,250,236,211,1892,1310,3,1325,1313,-12,0,0,,,,,,
2232443,2015,5,22,5,HA,117,N487HA,KOA,HNL,816,810,-6,7,817,43,45,29,163,846,9,859,855,-4,0,0,,,,,,
2621619,2015,6,15,1,EV,5118,N751EV,BDL,CLE,710,704,-6,15,719,94,102,80,476,839,7,844,846,2,0,0,,,,,,
5317179,2015,11,29,7,OO,4475,N912EV,ISN,MSP,1655,1648,-7,18,1706,105,107,86,546,1832,3,1840,1835,-5,0,0,,,,,,
1428500,2015,4,2,4,EV,4372,N11193,EWR,DCA,1313,1314,1,21,1335,73,64,40,199,1415,3,1426,1418,-8,0,0,,,,,,
4490388,2015,10,7,3,DL,2420,N357NW,13487,14771,1530,1528,-2,11,1539,243,224,206,1589,1705,7,1733,1712,-21,0,0,,,,,,
855881,2015,2,26,4,DL,1995,N905DA,ORD,ATL,752,1039,167,56,1135,128,161,93,606,1408,12,1100,1420,200,0,0,,33,0,0,0,167
225425,2015,1,15,4,DL,1626,N587NW,ATL,FLL,1510,1511,1,37,1548,115,120,80,581,1708,3,1705,1711,6,0,0,,,,,,
2976729,2015,7,6,1,WN,872,N617SW,LAS,SAN,1335,1347,12,8,1355,65,55,45,258,1440,2,1440,1442,2,0,0,,,,,,
1972408,2015,5,6,3,WN,443,N8303R,BWI,LAX,920,928,8,9,937,345,307,289,2329,1126,9,1205,1135,-30,0,0,,,,,,
1931407,2015,5,3,7,MQ,3090,N688MQ,PIA,ORD,1820,2207,227,8,2215,65,47,29,130,2244,10,1925,2254,209,0,0,,0,0,0,209,0
3392286,2015,7,30,4,AA,2279,N3GGAA,ORD,LAX,2210,1,111,14,15,273,257,232,1744,207,11,43,218,95,0,0,,0,0,16,79,0
1083,2015,1,1,4,WN,963,N483WN,MCO,MDW,715,710,-5,10,720,180,169,152,990,852,7,915,859,-16,0,0,,,,,,
5749238,2015,12,27,7,AS,520,N524AS,SEA,BUR,1405,1401,-4,10,1411,139,137,125,937,1616,2,1624,1618,-6,0,0,,,,,,
933750,2015,3,3,2,AA,96,N585AA,DFW,STL,820,819,-1,12,831,97,90,70,550,941,8,957,949,-8,0,0,,,,,,
917553,2015,3,2,1,DL,466,N391DA,SLC,JFK,830,829,-1,17,846,260,226,201,1990,1407,8,1450,1415,-35,0,0,,,,,,
4175537,2015,9,17,4,WN,28,N406WN,DAL,MDW,1435,1440,5,7,1447,135,122,109,793,1636,6,1650,1642,-8,0,0,,,,,,
298644,2015,1,20,2,MQ,3553,N517MQ,LGA,XNA,1450,1440,-10,20,1500,210,189,166,1147,1646,3,1720,1649,-31,0,0,,,,,,
3841943,2015,8,27,4,OO,6463,N788SK,SMF,LAX,610,603,-7,11,614,91,90,62,373,716,17,741,733,-8,0,0,,,,,,
5063284,2015,11,12,4,OO,6313,N131SY,SFO,LAX,2231,2227,-4,22,2249,88,88,55,337,2344,11,2359,2355,-4,0,0,,,,,,
4822531,2015,10,28,3,HA,183,N487HA,12173,12982,1609,1601,-8,10,1611,40,35,20,102,1631,5,1649,1636,-13,0,0,,,,,,
1034614,2015,3,9,1,AS,677,N626AS,DEN,SEA,1300,1257,-3,11,1308,173,160,143,1024,1431,6,1453,1437,-16,0,0,,,,,,
5420082,2015,12,6,7,DL,2338,N961AT,DTW,LGA,1003,1001,-2,13,1014,112,91,71,502,1125,7,1155,1132,-23,0,0,,,,,,
2341246,2015,5,29,5,MQ,3648,N831MQ,CMH,ORD,722,713,-9,11,724,98,77,48,296,712,18,800,730,-30,0,0,,,,,,
2235769,2015,5,22,5,US,1964,N803AW,CLT,MCI,1130,1122,-8,17,1139,147,152,128,808,1247,7,1257,1254,-3,0,0,,,,,,
1575017,2015,4,11,6,EV,3264,N12530,IAH,GRK,1430,1449,19,17,1506,60,59,38,166,1544,4,1530,1548,18,0,0,,18,0,0,0,0
4147973,2015,9,15,2,NK,199,N640NK,ORD,IAH,1920,1916,-4,15,1931,159,145,120,925,2131,10,2159,2141,-18,0,0,,,,,,
2668120,2015,6,17,3,AA,1172,N5DVAA,BOS,MIA,1854,1845,-9,16,1901,210,187,167,1258,2148,4,2224,2152,-32,0,0,,,,,,
2727003,2015,6,21,7,UA,1405,N76526,IAH,SAN,1125,1126,1,23,1149,190,190,163,1303,1232,4,1235,1236,1,0,0,,,,,,
287594,2015,1,19,1,OO,4697,N8884E,OMA,MSP,1925,1919,-6,9,1928,71,68,52,282,2020,7,2036,2027,-9,0,0,,,,,,
2151710,2015,5,17,7,AA,1292,N491AA,DFW,TUL,1210,1225,15,24,1249,74,69,41,237,1330,4,1324,1334,10,0,0,,,,,,
1236045,2015,3,21,6,WN,2252,N737JW,MCI,DAL,1725,1723,-2,8,1731,90,93,80,460,1851,5,1855,1856,1,0,0,,,,,,
1252898,2015,3,22,7,UA,1026,N68452,DEN,SAN,1907,1902,-5,13,1915,139,137,121,853,2016,3,2026,2019,-7,0,0,,,,,,
5718249,2015,12,25,5,WN,2731,N476WN,DEN,BOI,1220,1220,0,29,1249,120,127,94,649,1423,4,1420,1427,7,0,0,,,,,,
457663,2015,1,30,5,DL,1653,N908DE,ATL,HSV,2206,2201,-5,16,2217,59,48,29,151,2146,3,2205,2149,-16,0,0,,,,,,
4929220,2015,11,4,3,WN,1549,N7747C,DCA,ATL,1430,1428,-2,23,1451,115,114,83,547,1614,8,1625,1622,-3,0,0,,,,,,
1956882,2015,5,5,2,OO,4601,N603QX,SMF,SEA,1016,1012,-4,18,1030,116,126,104,605,1214,4,1212,1218,6,0,0,,,,,,
4982210,2015,11,7,6,B6,729,N621JB,MCO,BQN,2215,2223,8,15,2238,160,163,143,1129,201,5,155,206,11,0,0,,,,,,
3078878,2015,7,12,7,WN,723,N386SW,BNA,TPA,1435,1442,7,10,1452,100,103,89,612,1721,4,1715,1725,10,0,0,,,,,,
1305546,2015,3,25,3,OO,5611,N919SW,LAX,SAN,2255,2253,-2,25,2318,54,56,27,109,2345,4,2349,2349,0,0,0,,,,,,
1814761,2015,4,26,7,OO,4771,N437SW,DLH,MSP,1429,1434,5,32,1506,61,73,32,144,1538,9,1530,1547,17,0,0,,12,0,3,2,0
1205377,2015,3,19,4,AA,1593,N3CXAA,CLT,DFW,1905,1943,38,11,1954,173,170,147,936,2121,12,2058,2133,35,0,0,,0,0,0,35,0
854570,2015,2,26,4,AS,240,N459AS,SEA,SAN,635,648,13,27,715,159,149,120,1050,915,2,914,917,3,0,0,,,,,,
2451184,2015,6,4,4,DL,1202,N968AT,ATL,GSO,1949,1947,-2,13,2000,84,64,48,306,2048,3,2113,2051,-22,0,0,,,,,,
30745,2015,1,3,6,US,1725,N186US,DEN,CLT,120,114,-6,11,125,178,212,192,1337,637,9,618,646,28,0,0,,28,0,0,0,0
2298640,2015,5,26,2,WN,806,N757LV,JAX,BNA,1520,1516,-4,10,1526,90,85,69,483,1535,6,1550,1541,-9,0,0,,,,,,
2769684,2015,6,23,2,DL,2198,N953DL,MSP,ALB,1924,1937,13,12,1949,151,137,124,980,2253,1,2255,2254,-1,0,0,,,,,,
4404966,2015,10,2,5,OO,2884,N955SW,12892,15376,750,745,-5,14,759,94,82,62,451,901,6,924,907,-17,0,0,,,,,,
2815124,2015,6,26,5,WN,5451,N373SW,MCO,MCI,1255,1250,-5,8,1258,170,164,150,1072,1428,6,1445,1434,-11,0,0,,,,,,
3974708,2015,9,4,5,AA,1354,N007AA,MIA,IAH,930,923,-7,12,935,166,170,144,964,1059,14,1116,1113,-3,0,0,,,,,,
2966516,2015,7,5,7,WN,193,N403WN,TPA,BUF,2050,2209,79,8,2217,160,140,130,1053,27,2,2330,29,59,0,0,,0,0,0,59,0
2788559,2015,6,24,3,NK,501,N527NK,MCI,LAS,2118,2128,10,15,2143,182,175,156,1139,2219,4,2220,2223,3,0,0,,,,,,
455683,2015,1,30,5,DL,2429,N922AT,ATL,SGF,1905,1904,-1,13,1917,117,103,86,563,1943,4,2002,1947,-15,0,0,,,,,,
4490921,2015,10,7,3,OO,5622,N108SY,13930,11278,1600,1555,-5,29,1624,118,127,94,612,1858,4,1858,1902,4,0,0,,,,,,
4403825,2015,10,2,5,WN,805,N7820J,13851,11292,655,652,-3,11,703,95,92,75,495,718,6,730,724,-6,0,0,,,,,,
4256127,2015,9,22,2,DL,742,N927DN,MLB,ATL,1750,1746,-4,11,1757,101,80,62,442,1859,7,1931,1906,-25,0,0,,,,,,
891184,2015,2,28,6,OO,4642,N432SW,FAR,MSP,1106,1058,-8,16,1114,65,61,39,223,1153,6,1211,1159,-12,0,0,,,,,,
2076000,2015,5,12,2,EV,5366,N719EV,MDW,DTW,1634,1636,2,10,1646,70,67,50,228,1836,7,1844,1843,-1,0,0,,,,,,
4417168,2015,10,2,5,OO,4741,N431SW,11193,11433,1952,1953,1,12,2005,73,68,42,229,2047,14,2105,2101,-4,0,0,,,,,,
2471916,2015,6,6,6,WN,2741,N637SW,BWI,PVD,655,653,-2,13,706,75,67,51,327,757,3,810,800,-10,0,0,,,,,,
3219492,2015,7,20,1,AA,1998,N915US,MIA,CLT,1910,1908,-2,20,1928,128,130,102,650,2110,8,2118,2118,0,0,0,,,,,,
3409475,2015,7,31,5,AA,578,N564UW,SMF,PHL,2150,2146,-4,13,2159,302,296,269,2458,528,14,552,542,-10,0,0,,,,,,
1159046,2015,3,17,2,WN,188,N283WN,BWI,FLL,615,606,-9,8,614,165,135,123,925,817,4,900,821,-39,0,0,,,,,,
2039580,2015,5,10,7,MQ,3172,N615MQ,DFW,GRK,1345,,,,,55,,,134,,,1440,,,0,1,B,,,,,
5038506,2015,11,11,3,B6,398,N640JB,MCO,LGA,1314,1348,34,14,1402,153,161,141,950,1623,6,1547,1629,42,0,0,,42,0,0,0,0
2947549,2015,7,4,6,WN,1593,N403WN,PHX,SNA,1545,1545,0,9,1554,70,62,48,338,1642,5,1655,1647,-8,0,0,,,,,,
2612317,2015,6,14,7,MQ,3453,N699MQ,SYR,ORD,1503,1638,95,12,1650,130,118,94,607,1724,12,1613,1736,83,0,0,,0,0,3,80,0
1423474,2015,4,2,4,DL,2350,N651DL,ATL,JFK,818,823,5,34,857,131,143,103,760,1040,6,1029,1046,17,0,0,,17,0,0,0,0
4465905,2015,10,6,2,UA,1950,N81449,13204,14771,710,700,-10,11,711,355,336,315,2446,926,10,1005,936,-29,0,0,,,,,,
2200893,2015,5,20,3,B6,1214,N523JB,DFW,BOS,1047,1050,3,16,1106,225,199,177,1562,1503,6,1532,1509,-23,0,0,,,,,,
3871857,2015,8,28,5,AA,514,N756US,PHX,CMH,1845,1837,-8,12,1849,226,210,193,1670,102,5,131,107,-24,0,0,,,,,,
2883749,2015,6,30,2,AA,1404,N3KUAA,BOS,ORD,1557,1603,6,14,1617,168,160,132,867,1729,14,1745,1743,-2,0,0,,,,,,
4474472,2015,10,6,2,OO,2925,N435SW,12278,13930,1550,1542,-8,15,1557,119,106,83,588,1720,8,1749,1728,-21,0,0,,,,,,
5245299,2015,11,24,2,OO,2962,N468CA,PHX,PSP,1730,1725,-5,8,1733,67,61,45,261,1718,8,1737,1726,-11,0,0,,,,,,
3782867,2015,8,23,7,AA,78,N3BYAA,SLC,DFW,1336,1339,3,10,1349,159,140,123,989,1652,7,1715,1659,-16,0,0,,,,,,
4559710,2015,10,12,1,DL,1477,N3736C,13930,10397,645,643,-2,16,659,119,101,82,606,921,3,944,924,-20,0,0,,,,,,
4237907,2015,9,21,1,UA,333,N474UA,TPA,IAH,1535,1539,4,17,1556,137,135,113,787,1649,5,1652,1654,2,0,0,,,,,,
5022898,2015,11,10,2,UA,203,N807UA,MSP,IAH,1347,1340,-7,11,1351,181,171,149,1034,1620,11,1648,1631,-17,0,0,,,,,,
4817959,2015,10,28,3,MQ,3416,N918MQ,12339,13930,1120,1124,4,45,1209,70,99,39,177,1148,15,1130,1203,33,0,0,,33,0,0,0,0
1946361,2015,5,4,1,DL,1403,N347NB,ATL,ECP,1630,1628,-2,18,1646,70,59,39,240,1625,2,1640,1627,-13,0,0,,,,,,
3128505,2015,7,15,3,EV,2641,N680AE,DFW,GPT,1210,1219,9,18,1237,101,96,74,500,1351,4,1351,1355,4,0,0,,,,,,
2008516,2015,5,8,5,AS,61,N765AS,YAK,CDV,1141,1134,-7,4,1138,45,45,38,213,1216,3,1226,1219,-7,0,0,,,,,,
2860647,2015,6,29,1,OO,7377,N427SW,SLC,BTM,950,943,-7,15,958,85,76,57,358,1055,4,1115,1059,-16,0,0,,,,,,
3185322,2015,7,18,6,AA,1833,N961UW,PHL,ATL,1820,1812,-8,37,1849,154,158,94,666,2023,27,2054,2050,-4,0,0,,,,,,
4137613,2015,9,15,2,DL,2063,N914DN,DCA,MSP,835,904,29,26,930,159,154,125,931,1035,3,1014,1038,24,0,0,,0,0,24,0,0
1435717,2015,4,2,4,B6,97,N649JB,JFK,DEN,2021,2031,10,29,2100,284,291,255,1626,2315,7,2305,2322,17,0,0,,7,0,10,0,0
713517,2015,2,17,2,DL,2027,N607AT,TPA,JFK,705,659,-6,12,711,150,150,120,1005,911,18,935,929,-6,0,0,,,,,,
1170568,2015,3,17,2,MQ,3052,N645MQ,FNT,ORD,1741,1740,-1,13,1753,79,72,42,223,1735,17,1800,1752,-8,0,0,,,,,,
4590481,2015,10,13,2,NK,676,N512NK,11697,13204,2140,2132,-8,9,2141,54,49,33,177,2214,7,2234,2221,-13,0,0,,,,,,
4954611,2015,11,6,5,DL,1818,N6712B,ATL,MCO,655,708,13,15,723,85,81,59,404,822,7,820,829,9,0,0,,,,,,
3009100,2015,7,8,3,WN,4470,N421LV,DAL,LGA,1120,1151,31,7,1158,210,193,178,1381,1556,8,1550,1604,14,0,0,,,,,,
5566541,2015,12,15,2,AA,1767,N959UW,BOS,PHL,1730,1726,-4,29,1755,105,99,68,280,1903,2,1915,1905,-10,0,0,,,,,,
5632972,2015,12,19,6,DL,1067,N3747D,DTW,PDX,1959,1958,-1,15,2013,300,312,292,1953,2205,5,2159,2210,11,0,0,,,,,,
3184627,2015,7,18,6,WN,3278,N717SA,LAX,PDX,1730,1811,41,20,1831,135,139,114,834,2025,5,1945,2030,45,0,0,,4,0,0,41,0
1715805,2015,4,20,1,WN,1984,N524SW,DAL,LBB,1135,1130,-5,10,1140,65,61,48,293,1228,3,1240,1231,-9,0,0,,,,,,
2583301,2015,6,12,5,WN,896,N720WN,MDW,STL,1730,1842,72,12,1854,60,88,54,251,1948,22,1830,2010,100,0,0,,28,0,20,52,0
2567946,2015,6,11,4,AA,40,N3EHAA,BOS,ORD,1930,1928,-2,23,1951,166,178,136,867,2107,19,2116,2126,10,0,0,,,,,,
2954841,2015,7,5,7,VX,89,N838VA,IAD,LAX,905,901,-4,12,913,325,305,284,2288,1057,9,1130,1106,-24,0,0,,,,,,
2657526,2015,6,17,3,OO,2751,N899SK,ABQ,PHX,830,828,-2,26,854,99,107,59,328,853,22,909,915,6,0,0,,,,,,
1226664,2015,3,21,6,B6,475,N804JB,PVD,MCO,700,927,147,56,1023,179,212,150,1072,1253,6,959,1259,180,0,0,,33,0,147,0,0
4095513,2015,9,12,6,AA,1239,N3LDAA,ORD,SEA,1145,1143,-2,12,1155,274,246,227,1721,1342,7,1419,1349,-30,0,0,,,,,,
4804605,2015,10,27,2,DL,101,N696DL,12892,10397,1345,1347,2,18,1405,259,241,213,1947,2038,10,2104,2048,-16,0,0,,,,,,
829983,2015,2,24,2,F9,1301,N918FR,ATL,IAD,1400,1400,0,17,1417,105,106,81,534,1538,8,1545,1546,1,0,0,,,,,,
5608129,2015,12,18,5,HA,508,N479HA,LIH,OGG,1013,1106,53,6,1112,47,63,33,201,1145,24,1100,1209,69,0,0,,0,0,16,53,0
5121791,2015,11,16,1,MQ,3399,N601MQ,CWA,ORD,1819,1808,-11,9,1817,86,86,56,213,1913,21,1945,1934,-11,0,0,,,,,,
4013233,2015,9,7,1,EV,3257,N12145,GSP,ORD,719,710,-9,8,718,121,105,91,578,749,6,820,755,-25,0,0,,,,,,
2981091,2015,7,6,1,DL,1369,N987AT,MCI,DTW,1746,1858,72,14,1912,116,119,97,629,2149,8,2042,2157,75,0,0,,3,0,0,71,1
1681778,2015,4,18,6,MQ,3648,N853MQ,CMH,ORD,732,724,-8,12,736,98,80,48,296,724,20,810,744,-26,0,0,,,,,,
1967578,2015,5,5,2,DL,1812,N817DN,ATL,ORD,2149,2146,-3,10,2156,123,114,89,606,2225,15,2252,2240,-12,0,0,,,,,,
4916402,2015,11,3,2,AS,831,N519AS,SEA,OGG,1750,1738,-12,15,1753,385,356,326,2640,2119,15,2215,2134,-41,0,0,,,,,,
5293029,2015,11,28,6,DL,1295,N910DE,ATL,PIT,905,902,-3,14,916,96,93,74,526,1030,5,1041,1035,-6,0,0,,,,,,
4821703,2015,10,28,3,WN,221,N470WN,13487,13342,1515,1514,-1,17,1531,70,72,50,297,1621,5,1625,1626,1,0,0,,,,,,
1456012,2015,4,4,6,MQ,3339,N526MQ,ORD,XNA,725,724,-1,11,735,107,100,85,522,900,4,912,904,-8,0,0,,,,,,
1791607,2015,4,24,5,UA,447,N831UA,EWR,LAX,2059,2115,16,14,2129,381,382,360,2454,29,8,20,37,17,0,0,,1,0,16,0,0
3429974,2015,8,2,7,DL,530,N3736C,SEA,ANC,1010,1037,27,17,1054,210,198,178,1448,1252,3,1240,1255,15,0,0,,0,0,9,6,0
5563719,2015,12,15,2,WN,422,N426WN,ALB,LAS,1435,1500,25,8,1508,345,323,308,2237,1716,7,1720,1723,3,0,0,,,,,,
4079940,2015,9,11,5,UA,1977,N13954,LAX,IAH,1100,1115,15,19,1134,227,193,162,1379,1616,12,1647,1628,-19,0,0,,,,,,
3074388,2015,7,12,7,AA,1095,N3DMAA,PHX,DFW,1005,1002,-3,27,1029,149,151,112,868,1421,12,1434,1433,-1,0,0,,,,,,
578607,2015,2,8,7,US,493,N764US,PHX,OAK,1050,1049,-1,17,1106,124,132,112,646,1158,3,1154,1201,7,0,0,,,,,,
2835711,2015,6,27,6,WN,4364,N656SW,BWI,FLL,1730,2028,178,13,2041,155,145,126,925,2247,6,2005,2253,168,0,0,,0,0,123,45,0
1963374,2015,5,5,2,OO,2894,N477CA,SAN,LAX,1655,1635,-20,8,1643,44,37,24,109,1707,5,1739,1712,-27,0,0,,,,,,
5408281,2015,12,5,6,EV,4164,N17108,DCA,CLE,1029,1022,-7,13,1035,83,71,51,310,1126,7,1152,1133,-19,0,0,,,,,,
636030,2015,2,12,4,DL,2665,N970AT,BOS,LGA,600,601,1,31,632,79,79,42,184,714,6,719,720,1,0,0,,,,,,
4418102,2015,10,2,5,AA,956,N3JBAA,13303,14492,2110,2103,-7,10,2113,127,114,97,700,2250,7,2317,2257,-20,0,0,,,,,,
1301463,2015,3,25,3,WN,3771,N408WN,BWI,JAX,1735,1814,39,9,1823,120,106,93,663,1956,4,1935,2000,25,0,0,,0,0,4,21,0
461317,2015,1,31,6,WN,2777,N227WN,MDW,STL,935,939,4,14,953,70,65,46,251,1039,5,1045,1044,-1,0,0,,,,,,
5754570,2015,12,27,7,WN,1966,N8319F,DEN,CLE,1940,2012,32,9,2021,165,152,140,1201,41,3,25,44,19,0,0,,0,0,3,16,0
5316692,2015,11,29,7,WN,502,N459WN,DAL,OAK,1625,1627,2,22,1649,230,241,213,1468,1822,6,1815,1828,13,0,0,,,,,,
229917,2015,1,15,4,EV,4170,N11565,MKE,EWR,1940,1940,0,8,1948,136,113,97,725,2225,8,2256,2233,-23,0,0,,,,,,
4652480,2015,10,17,6,OO,4473,N604SK,14747,14831,1959,1953,-6,22,2015,132,140,114,697,2209,4,2211,2213,2,0,0,,,,,,
1094613,2015,3,13,5,WN,4640,N762SW,EWR,BNA,615,609,-6,16,625,155,137,115,748,720,6,750,726,-24,0,0,,,,,,
3674337,2015,8,16,7,UA,593,N472UA,BOS,DEN,1847,1903,16,17,1920,270,251,227,1754,2107,7,2117,2114,-3,0,0,,,,,,
2279815,2015,5,25,1,MQ,3697,N5PBMQ,ELP,ORD,1325,1319,-6,11,1330,186,167,144,1236,1654,12,1731,1706,-25,0,0,,,,,,
4835303,2015,10,29,4,DL,336,N138DL,12892,13487,1245,1243,-2,22,1305,215,215,189,1535,1814,4,1820,1818,-2,0,0,,,,,,
1328721,2015,3,27,5,AA,1581,N3CDAA,DCA,DFW,1106,1102,-4,19,1121,214,200,172,1192,1313,9,1340,1322,-18,0,0,,,,,,
1011460,2015,3,8,7,DL,2654,N310NW,BIL,MSP,630,624,-6,16,640,110,120,99,748,919,5,920,924,4,0,0,,,,,,
5243603,2015,11,24,2,B6,26,N638JB,TPA,JFK,1550,1604,14,10,1614,159,158,137,1005,1831,11,1829,1842,13,0,0,,,,,,
4378234,2015,9,30,3,WN,467,N737JW,HOU,ATL,1400,1421,21,12,1433,120,111,93,696,1706,6,1700,1712,12,0,0,,,,,,
604357,2015,2,9,1,MQ,3606,N515MQ,DTW,ORD,2114,2310,116,20,2330,76,69,44,235,2314,5,2130,2319,109,0,0,,0,0,15,94,0
1011052,2015,3,8,7,MQ,2960,N902MQ,BMI,ORD,600,557,-3,20,617,60,55,29,116,646,6,700,652,-8,0,0,,,,,,
3294250,2015,7,25,6,OO,5267,N715SK,TUS,IAH,745,744,-1,12,756,151,151,131,936,1207,8,1216,1215,-1,0,0,,,,,,
502463,2015,2,3,2,AS,32,N551AS,SEA,PHL,835,832,-3,19,851,300,283,260,2378,1611,4,1635,1615,-20,0,0,,,,,,
5416410,2015,12,6,7,DL,1390,N933DN,PBI,ATL,545,541,-4,12,553,104,97,79,545,712,6,729,718,-11,0,0,,,,,,
5451787,2015,12,8,2,AA,489,N837AW,PHX,PIT,950,949,-1,18,1007,242,244,222,1814,1549,4,1552,1553,1,0,0,,,,,,
1540365,2015,4,9,4,EV,4939,N758EV,DTW,SBN,1210,1209,-1,20,1229,55,60,36,157,1305,4,1305,1309,4,0,0,,,,,,
3772060,2015,8,22,6,AA,629,N190UW,ORD,PHX,1708,1709,1,21,1730,233,218,190,1440,1840,7,1901,1847,-14,0,0,,,,,,
1277644,2015,3,24,2,WN,3226,N958WN,STL,TUL,1015,1014,-1,8,1022,75,72,59,351,1121,5,1130,1126,-4,0,0,,,,,,
4093991,2015,9,12,6,AA,1249,N021AA,LAX,ATL,1000,956,-4,24,1020,261,259,231,1947,1711,4,1721,1715,-6,0,0,,,,,,
1099206,2015,3,13,5,AS,120,N778AS,ANC,SEA,1035,1029,-6,14,1043,205,211,194,1448,1457,3,1500,1500,0,0,0,,,,,,
3052138,2015,7,10,5,DL,65,N820DN,ATL,SFO,1925,2005,40,31,2036,316,315,269,2139,2205,15,2141,2220,39,0,0,,39,0,0,0,0
4193814,2015,9,18,5,AA,190,N4YSAA,DFW,SAT,1620,1617,-3,13,1630,66,57,40,247,1710,4,1726,1714,-12,0,0,,,,,,
1833592,2015,4,27,1,DL,1194,N368NW,PDX,SLC,1632,1701,29,14,1715,101,104,86,630,1941,4,1913,1945,32,0,0,,3,0,29,0,0
2871129,2015,6,29,1,OO,4651,N548CA,SLC,SNA,2012,2030,18,17,2047,115,101,78,588,2105,6,2107,2111,4,0,0,,,,,,
785553,2015,2,21,6,MQ,3479,N645MQ,DFW,HOU,1530,1527,-3,18,1545,67,72,47,247,1632,7,1637,1639,2,0,0,,,,,,
5116844,2015,11,16,1,OO,6264,N923SW,SFO,FAT,1328,1322,-6,19,1341,62,58,33,158,1414,6,1430,1420,-10,0,0,,,,,,
117512,2015,1,8,4,WN,250,N444WN,DEN,MDW,1300,,,,,135,,,895,,,1615,,,0,1,A,,,,,
5293667,2015,11,28,6,B6,56,N283JB,IAD,BOS,953,944,-9,11,955,83,75,59,413,1054,5,1116,1059,-17,0,0,,,,,,
